FECHA,KITENI,PS#1,PS#2,PS#3,PS#4,FECHA;KITENI;PS#1;PS#2;PS#3;PS#4
2006-09-27,0.0,0.0,0.0,0.0,0.0,
2006-09-28,0.0,0.0,4.0,0.0,0.0,
2006-09-29,0.0,0.0,3.0,0.0,0.0,
2006-09-30,0.0,0.0,0.0,0.0,0.0,
2006-10-01,0.0,0.0,0.0,0.0,0.0,
2006-10-02,0.0,0.0,2.2,0.0,0.0,
2006-10-03,0.0,0.0,0.0,0.0,0.0,
2006-10-04,0.0,6.0,1.0,0.0,0.0,
2006-10-05,0.0,1.0,0.0,0.0,0.0,
2006-10-06,0.2,25.8,6.0,0.0,0.0,
2006-10-07,0.0,0.0,0.4,0.0,0.0,
2006-10-08,0.3,6.4,8.0,0.0,0.0,
2006-10-09,0.1,55.3,34.0,0.0,0.0,
2006-10-10,0.0,2.5,0.0,0.0,0.0,
2006-10-11,0.0,0.0,0.0,0.0,0.0,
2006-10-12,0.0,0.0,0.0,0.0,0.0,
2006-10-13,7.3,0.0,1.0,0.0,0.0,
2006-10-14,0.3,0.0,0.0,0.0,0.0,
2006-10-15,0.0,0.0,0.0,0.0,0.0,
2006-10-16,3.0,3.0,16.2,0.0,0.0,
2006-10-17,31.4,19.5,25.0,0.0,0.0,
2006-10-18,0.0,0.0,2.0,0.0,0.0,
2006-10-19,0.0,0.0,0.0,0.0,0.0,
2006-10-20,4.0,0.0,1.2,0.0,0.0,
2006-10-21,34.0,29.2,20.0,0.0,0.0,
2006-10-22,0.0,24.2,3.1,0.0,0.0,
2006-10-23,0.0,8.0,25.4,0.0,0.0,
2006-10-24,0.0,0.3,10.0,0.0,0.0,
2006-10-25,5.1,0.0,1.2,0.0,0.0,
2006-10-26,0.0,3.2,0.0,0.0,0.0,
2006-10-27,14.2,24.0,10.0,0.0,0.0,
2006-10-28,0.0,23.0,7.0,0.0,0.0,
2006-10-29,3.0,1.3,6.0,0.0,0.0,
2006-10-30,0.0,37.3,0.0,0.0,0.0,
2006-10-31,8.2,25.0,12.0,0.0,0.0,
2006-11-01,0.0,0.0,8.0,0.0,0.0,
2006-11-02,2.6,12.0,1.2,0.0,0.0,
2006-11-03,0.5,25.8,12.8,0.0,0.0,
2006-11-04,0.3,3.0,15.2,0.0,0.0,
2006-11-05,1.5,0.1,1.2,0.0,0.0,
2006-11-06,0.0,18.6,0.0,0.0,0.0,
2006-11-07,11.3,2.2,6.4,0.0,0.0,
