Num,Año,Mes,Día,Horas,Base Operativa Kiteni,PS-1,PS-2,PS-3,PS-4
172,2016,6,20,18:00A6:85,0.8,2.5,0.0,0.0,0.0
173,2016,6,21,6:00A18:86,4.4,2.5,1.9,0.0,0.0
174,2016,6,22,18:00A6:86,5.4,2.5,2.5,0.0,0.0
175,2016,6,23,6:00A18:87,0.8,2.5,2.3,0.0,0.0
176,2016,6,24,18:00A6:87,0.8,2.5,0.0,0.0,0.0
177,2016,6,25,6:00A18:88,0.8,2.5,0.0,0.0,0.0
178,2016,6,26,18:00A6:88,4.8,0.1,21.0,0.0,0.0
179,2016,6,27,6:00A18:89,5.6,2.5,14.0,2.2,2.0
180,2016,6,28,18:00A6:89,4.6,17.6,10.7,36.8,1.2
181,2016,6,29,6:00A18:90,0.8,2.5,0.0,5.0,3.0
182,2016,6,30,18:00A6:90,0.8,0.1,0.0,0.0,0.2
183,2016,7,1,6:00A18:91,0.4,0.8,0.0,0.0,0.0
184,2016,7,2,18:00A6:91,0.4,0.8,0.0,0.0,0.0
185,2016,7,3,6:00A18:92,0.4,0.8,0.0,0.0,0.2
186,2016,7,4,18:00A6:92,0.4,0.1,0.0,0.0,0.0
187,2016,7,5,6:00A18:93,0.4,0.8,0.0,0.0,0.0
188,2016,7,6,18:00A6:93,0.4,7.4,0.0,0.0,0.0
189,2016,7,7,6:00A18:94,0.2,5.6,2.3,1.4,3.2
190,2016,7,8,18:00A6:94,24.9,24.4,22.4,12.6,9.799999999999999
191,2016,7,9,6:00A18:95,0.4,0.2,0.5,0.0,0.0
192,2016,7,10,18:00A6:95,0.4,0.8,0.0,0.0,0.0
193,2016,7,11,6:00A18:96,0.4,0.8,3.0,0.0,0.0
194,2016,7,12,18:00A6:96,0.4,0.8,0.0,0.0,0.0
195,2016,7,13,6:00A18:97,0.4,0.8,0.3,0.0,0.0
196,2016,7,14,18:00A6:97,0.4,0.8,2.0,0.0,0.0
197,2016,7,15,6:00A18:98,0.4,0.8,0.0,0.0,0.0
198,2016,7,16,18:00A6:98,0.4,0.8,1.2,0.0,0.0
199,2016,7,17,6:00A18:99,0.4,0.8,5.4,0.0,0.0
200,2016,7,18,18:00A6:99,0.4,0.8,0.4,0.0,0.0
201,2016,7,19,6:00A18:100,0.4,0.8,0.0,0.0,0.0
202,2016,7,20,18:00A6:100,0.4,0.8,0.0,0.0,0.0
203,2016,7,21,6:00A18:101,0.4,0.8,0.0,0.0,0.0
204,2016,7,22,18:00A6:101,0.4,0.8,0.0,0.0,0.0
205,2016,7,23,6:00A18:102,0.4,0.8,0.0,0.0,0.0
206,2016,7,24,18:00A6:102,0.4,0.8,0.0,0.0,0.0
207,2016,7,25,6:00A18:103,0.4,0.8,0.0,0.0,0.0
208,2016,7,26,18:00A6:103,0.4,8.4,0.0,0.0,0.0
209,2016,7,27,6:00A18:104,0.4,0.3,0.0,0.0,0.0
210,2016,7,28,18:00A6:104,0.4,0.8,0.0,0.0,0.0
211,2016,7,29,6:00A18:105,0.4,0.8,0.0,0.0,0.0
212,2016,7,30,18:00A6:105,0.4,0.1,0.0,0.0,0.0
213,2016,7,31,6:00A18:106,0.4,0.8,0.0,0.0,0.0
214,2016,8,1,18:00A6:106,1.5,0.9,0.0,0.0,0.0
215,2016,8,2,6:00A18:107,1.5,19.7,0.0,0.0,0.0
216,2016,8,3,18:00A6:107,1.5,0.2,0.0,0.0,0.0
217,2016,8,4,6:00A18:108,1.5,0.3,0.0,0.0,0.0
218,2016,8,5,18:00A6:108,1.5,0.3,0.0,0.0,0.0
219,2016,8,6,6:00A18:109,1.5,0.9,0.0,3.6,2.0
220,2016,8,7,18:00A6:109,23.6,0.9,0.0,0.0,0.0
221,2016,8,8,6:00A18:110,1.5,0.9,0.0,0.0,0.0
222,2016,8,9,18:00A6:110,24.4,2.1,10.0,0.0,0.0
223,2016,8,10,6:00A18:111,15.9,10.1,6.0,0.0,2.6
224,2016,8,11,18:00A6:111,1.0,18.6,10.1,6.6,1.0
225,2016,8,12,6:00A18:112,1.5,0.2,0.3,0.0,0.0
226,2016,8,13,18:00A6:112,1.5,0.9,0.4,0.0,0.0
227,2016,8,14,6:00A18:113,1.5,0.9,3.5,0.0,0.0
228,2016,8,15,18:00A6:113,1.5,0.9,0.2,0.0,0.0
229,2016,8,16,6:00A18:114,9.4,0.9,0.0,0.0,0.0
230,2016,8,17,18:00A6:114,1.5,0.9,2.0,0.0,0.0
231,2016,8,18,6:00A18:115,1.5,0.9,0.0,0.0,0.0
232,2016,8,19,18:00A6:115,1.5,0.9,0.0,0.0,0.0
233,2016,8,20,6:00A18:116,4.8,0.2,4.0,1.0,1.8
234,2016,8,21,18:00A6:116,0.4,1.0,0.0,10.0,0.0
235,2016,8,22,6:00A18:117,5.0,4.8,27.0,14.0,7.4
236,2016,8,23,18:00A6:117,0.1,0.9,0.0,0.0,0.0
237,2016,8,24,6:00A18:118,1.5,0.9,0.0,1.4,0.0
238,2016,8,25,18:00A6:118,1.5,0.9,0.0,0.0,0.0
239,2016,8,26,6:00A18:119,0.3,0.9,0.0,1.0,1.0
240,2016,8,27,18:00A6:119,10.9,0.9,0.0,0.0,0.0
241,2016,8,28,6:00A18:120,1.5,0.9,0.0,0.0,0.0
242,2016,8,29,18:00A6:120,1.5,0.9,0.0,0.0,0.0
243,2016,8,30,6:00A18:121,1.5,0.9,0.0,0.0,0.0
244,2016,8,31,18:00A6:121,1.5,0.9,0.5,0.0,0.0
245,2016,9,1,6:00A18:122,1.7,1.9,0.0,0.0,0.0
246,2016,9,2,18:00A6:122,3.1,0.1,0.3,0.0,0.0
247,2016,9,3,6:00A18:123,1.7,1.9,1.0,0.0,0.0
248,2016,9,4,18:00A6:123,8.8,18.2,15.2,0.0,0.0
249,2016,9,5,6:00A18:124,0.2,0.4,2.8,0.2,0.0
250,2016,9,6,18:00A6:124,1.7,0.3,0.3,0.4,0.2
251,2016,9,7,6:00A18:125,1.7,1.9,0.4,0.0,0.0
252,2016,9,8,18:00A6:125,1.7,1.9,0.0,0.2,0.4
