FECHA,KITENI,PS#1,PS#2,PS#3,PS#4
2011-12-21,10.98,1.3,16.6,2.8,0.0
2011-12-22,24.6,32.7,43.1,3.2,0.0
2011-12-23,11.7,6.0,7.8,5.4,0.0
2011-12-24,10.2,17.94,11.6,5.81,0.0
2011-12-25,49.1,29.4,11.4,6.2,0.0
2011-12-26,10.98,2.4,0.3,5.81,0.0
2011-12-27,0.5,1.2,16.95,9.0,0.0
2011-12-28,19.4,7.2,26.9,26.0,0.0
2011-12-29,18.0,51.2,24.4,9.6,0.0
2011-12-30,4.0,17.94,35.4,5.81,0.0
2011-12-31,10.98,10.6,2.3,3.6,0.0
2012-01-01,13.53,28.6,1.4,7.07,0.0
2012-01-02,10.5,34.0,0.4,2.6,0.0
2012-01-03,13.5,1.3,20.5,6.6,0.0
2012-01-04,1.0,81.8,24.6,7.07,0.0
2012-01-05,3.0,20.8,4.7,9.8,0.0
2012-01-06,13.53,0.0,4.7,1.6,0.0
2012-01-07,34.0,62.4,46.7,14.0,0.0
2012-01-08,36.5,35.4,8.7,7.07,0.0
2012-01-09,13.53,33.95,0.1,7.07,0.0
2012-01-10,9.4,251.2,7.2,2.0,0.0
2012-01-11,6.5,275.2,48.5,2.0,0.0
2012-01-12,13.53,7.4,0.4,2.8,0.0
2012-01-13,27.0,26.3,25.5,28.0,0.0
2012-01-14,52.0,39.9,44.6,5.9,0.0
2012-01-15,15.0,20.2,27.6,6.0,0.0
2012-01-16,1.0,2.0,0.8,1.5,0.0
2012-01-17,13.53,0.2,2.8,2.0,0.0
2012-01-18,22.0,0.2,15.7,7.07,0.0
2012-01-19,1.3,29.9,1.0,2.0,0.0
2012-01-20,6.0,33.95,4.6,28.0,0.0
2012-01-21,26.5,33.95,19.4,1.3,0.0
2012-01-22,0.6,33.95,15.7,2.0,0.0
2012-01-23,5.5,9.8,31.1,8.0,0.0
2012-01-24,2.4,29.6,0.4,2.3,0.0
2012-01-25,14.1,71.8,31.0,10.3,0.0
2012-01-26,37.7,0.6,31.5,6.3,0.0
2012-01-27,13.53,0.5,3.2,8.2,0.0
2012-01-28,1.2,2.0,15.7,28.6,0.0
2012-01-29,79.1,9.5,46.2,33.4,0.0
2012-01-30,3.4,4.0,7.2,1.9,0.0
2012-01-31,10.5,8.1,42.2,2.2,0.0
2012-02-01,16.12,12.1,0.4,2.0,0.0
2012-02-02,2.5,58.5,3.2,5.2,0.0
2012-02-03,2.0,68.1,5.0,3.2,0.0
2012-02-04,10.0,71.8,61.4,14.0,0.0
2012-02-05,1.0,0.4,1.0,7.0,0.0
2012-02-06,46.0,43.3,12.6,31.2,0.0
2012-02-07,27.5,2.0,28.7,25.6,0.0
2012-02-08,15.5,2.6,12.2,19.6,0.0
2012-02-09,16.12,23.56,0.0,4.0,0.0
2012-02-10,23.5,23.56,39.4,10.8,0.0
2012-02-11,46.0,33.8,39.0,23.0,0.0
2012-02-12,2.0,8.9,2.5,11.0,0.0
2012-02-13,22.0,8.4,29.8,4.6,0.0
2012-02-14,2.6,0.7,4.6,14.4,0.0
2012-02-15,59.5,72.6,72.6,6.0,0.0
2012-02-16,2.1,22.5,2.3,30.0,0.0
2012-02-17,14.7,14.7,14.0,13.2,0.0
2012-02-18,22.1,22.0,26.0,18.4,0.0
2012-02-19,41.5,18.3,33.8,36.2,0.0
2012-02-20,3.0,14.3,4.8,16.4,0.0
2012-02-21,1.9,13.9,1.2,11.2,0.0
2012-02-22,31.9,36.2,49.4,10.8,0.0
2012-02-23,1.9,2.5,3.4,5.0,0.0
2012-02-24,26.4,2.4,30.4,16.2,0.0
2012-02-25,4.2,21.3,1.3,8.4,0.0
2012-02-26,37.1,72.3,44.6,13.54,0.0
2012-02-27,18.6,56.7,15.3,10.8,0.0
2012-02-28,0.5,0.8,1.7,7.4,0.0
2012-02-29,1.5,2.3,12.2,27.2,0.0
2012-03-01,6.86,15.1,0.2,27.2,0.0
2012-03-02,7.6,22.5,34.9,26.2,0.0
2012-03-03,2.5,0.3,6.3,12.0,0.0
2012-03-04,10.1,2.0,1.7,1.2,0.0
2012-03-05,16.1,24.5,27.1,1.0,0.0
2012-03-06,6.5,4.0,17.8,1.0,0.0
2012-03-07,17.2,17.6,22.6,30.6,0.0
2012-03-08,1.0,6.0,0.4,11.0,0.0
2012-03-09,16.0,12.38,20.1,32.8,0.0
2012-03-10,56.0,11.2,10.3,7.4,0.0
2012-03-11,4.2,17.0,25.7,6.6,0.0
2012-03-12,6.86,7.4,0.9,0.6,0.0
2012-03-13,31.0,25.4,5.5,1.1,0.0
2012-03-14,1.8,15.8,3.7,1.0,0.0
2012-03-15,2.0,12.5,10.8,6.2,0.0
2012-03-16,14.5,38.9,19.5,4.0,0.0
2012-03-17,1.5,5.2,0.4,4.2,0.0
2012-03-18,6.86,17.4,4.3,7.4,0.0
2012-03-19,6.86,65.1,7.0,7.63,0.0
2012-03-20,4.5,13.0,16.5,6.0,0.0
2012-03-21,2.0,12.38,2.1,2.0,0.0
2012-03-22,6.86,12.38,4.3,0.5,0.0
2012-03-23,4.0,40.2,1.3,9.0,0.0
2012-03-24,0.5,2.8,0.0,7.63,0.0
2012-03-25,7.0,0.9,20.0,12.8,0.0
2012-03-26,2.5,12.38,27.2,5.2,0.0
2012-03-27,6.86,0.4,0.7,3.2,0.0
2012-03-28,3.2,12.4,35.1,7.6,0.0
2012-03-29,6.86,6.4,0.6,1.8,0.0
2012-03-30,1.2,12.38,10.54,5.4,0.0
2012-03-31,6.86,12.38,10.54,1.6,0.0
2012-04-01,22.5,4.2,30.2,9.7,0.0
2012-04-02,9.3,60.8,5.4,2.6,0.0
2012-04-03,0.2,17.34,6.2,1.0,0.0
2012-04-04,2.0,8.4,5.9,11.2,0.0
2012-04-05,5.25,17.34,5.9,6.42,0.0
2012-04-06,5.25,17.34,5.9,6.42,0.0
2012-04-07,3.0,17.34,5.9,5.8,0.0
2012-04-08,5.8,49.0,5.4,2.4,0.0
2012-04-09,3.5,13.0,1.4,0.6,0.0
2012-04-10,5.6,17.34,0.2,6.42,0.0
2012-04-11,5.25,17.34,1.6,24.2,0.0
2012-04-12,1.2,0.4,5.9,45.6,0.0
2012-04-13,3.5,17.34,5.9,1.0,0.0
2012-04-14,5.25,17.34,0.6,6.2,0.0
2012-04-15,5.25,17.34,8.6,4.2,0.0
2012-04-16,9.0,17.34,2.3,3.4,0.0
2012-04-17,17.0,17.8,34.3,20.6,0.0
2012-04-18,4.5,0.3,5.9,4.0,0.0
2012-04-19,6.3,28.3,11.0,21.2,0.0
2012-04-20,1.2,0.4,5.9,3.2,0.0
2012-04-21,10.3,17.34,35.0,2.0,0.0
2012-04-22,4.2,14.0,5.9,0.8,0.0
2012-04-23,7.5,0.2,5.9,18.0,0.0
2012-04-24,5.25,0.6,5.9,1.3,0.0
2012-04-25,0.8,17.34,10.3,3.5,0.0
2012-04-26,1.2,0.4,4.0,6.42,0.0
2012-04-27,23.9,119.6,12.5,0.3,0.0
2012-04-28,6.0,17.34,5.9,6.42,0.0
2012-04-29,6.4,200.7,8.0,6.42,0.0
2012-04-30,2.6,2.2,5.9,6.42,0.0
2012-05-01,0.3,0.4,3.64,25.0,0.0
2012-05-02,0.2,9.22,3.64,1.0,0.0
2012-05-03,0.5,9.22,3.64,2.38,0.0
2012-05-04,0.1,9.22,3.64,2.38,0.0
2012-05-05,2.0,9.22,3.64,3.8,0.0
2012-05-06,4.01,9.22,3.64,2.6,0.0
2012-05-07,4.01,9.22,3.64,2.38,0.0
2012-05-08,1.0,9.22,3.64,9.8,0.0
2012-05-09,0.5,9.22,5.4,0.6,0.0
2012-05-10,0.5,9.22,1.0,2.38,0.0
2012-05-11,4.01,9.22,4.3,2.38,0.0
2012-05-12,37.4,9.22,3.64,9.8,0.0
2012-05-13,4.01,9.0,3.64,1.0,0.0
2012-05-14,4.01,9.22,3.64,1.0,0.0
2012-05-15,4.01,9.22,3.0,2.38,0.0
2012-05-16,21.0,32.4,12.2,2.38,0.0
2012-05-17,5.4,18.9,20.4,0.6,0.0
